Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,6.447412968,7.643214226,7.660714149,7.585000038,7.622499943,493729600
2010-01-05 00:00:00+00:00,6.458560467,7.656428814,7.699643135,7.616071224,7.664286137,601904800
2010-01-06 00:00:00+00:00,6.355827332,7.534643173,7.686786175,7.526785851,7.656428814,552160000
2010-01-07 00:00:00+00:00,6.344076633,7.520713806,7.571428776,7.466071129,7.5625,477131200
2010-01-08 00:00:00+00:00,6.386255741,7.570713997,7.571428776,7.466429234,7.510714054,447610800
2010-01-11 00:00:00+00:00,6.329918861,7.503929138,7.607142925,7.444643021,7.599999905,462229600
2010-01-12 00:00:00+00:00,6.257913589,7.418570995,7.491786003,7.372142792,7.471070766,594459600
2010-01-13 00:00:00+00:00,6.346186638,7.523213863,7.533214092,7.289286137,7.423929214,605892000
2010-01-14 00:00:00+00:00,6.30943346,7.479642868,7.516428947,7.465000153,7.503929138,432894000
2010-01-15 00:00:00+00:00,6.203989029,7.354642868,7.557143211,7.352499962,7.533214092,594067600
2010-01-19 00:00:00+00:00,6.478442669,7.679999828,7.685357094,7.401429176,7.440357208,730007600
2010-01-20 00:00:00+00:00,6.378723621,7.561786175,7.698214054,7.482142925,7.675356865,612152800
2010-01-21 00:00:00+00:00,6.26845932,7.431070805,7.61821413,7.40035677,7.574285984,608154400
2010-01-22 00:00:00+00:00,5.957551479,7.0625,7.410714149,7.041429043,7.385000229,881767600
2010-01-25 00:00:00+00:00,6.117825508,7.252500057,7.310713768,7.149642944,7.232500076,1065699600
2010-01-26 00:00:00+00:00,6.204288006,7.355000019,7.632500172,7.235000134,7.35535717,1867110000
2010-01-27 00:00:00+00:00,6.262735844,7.424285889,7.520713806,7.126070976,7.387499809,1722568400
2010-01-28 00:00:00+00:00,6.003946781,7.117499828,7.339285851,7.096428871,7.318929195,1173502400
2010-01-29 00:00:00+00:00,5.786132813,6.859285831,7.221428871,6.794642925,7.181428909,1245952400
2010-02-01 00:00:00+00:00,5.866569519,6.954642773,7,6.83214283,6.870357037,749876400
2010-02-02 00:00:00+00:00,5.900612354,6.994999886,7.011428833,6.906428814,6.996786118,698342400
2010-02-03 00:00:00+00:00,6.002138138,7.115356922,7.150000095,6.943571091,6.970356941,615328000
2010-02-04 00:00:00+00:00,5.785830498,6.858929157,7.084642887,6.841785908,7.026071072,757652000
